class,date
-1,"10/09/200820:52:00"
-1,"10/09/200820:53:00"
-1,"10/09/200821:56:00"
-1,"10/09/200823:30:00"
-1,"10/09/200823:43:00"
-1,"11/09/200800:17:00"
-1,"11/09/200805:20:00"
-1,"11/09/200806:04:00"
-1,"11/09/200807:43:00"
-1,"11/09/200808:06:00"
-1,"11/09/200808:58:00"
-1,"11/09/200809:24:00"
-1,"11/09/200812:47:00"
-1,"11/09/200813:36:00"
-1,"11/09/200814:20:00"
-1,"11/09/200814:24:00"
-1,"11/09/200814:31:00"
-1,"11/09/200815:05:00"
-1,"11/09/200815:08:00"
-1,"11/09/200816:28:00"
-1,"11/09/200821:13:00"
1,"11/09/200822:07:00"
-1,"11/09/200823:10:00"
1,"11/09/200823:48:00"
-1,"12/09/200805:11:00"
-1,"12/09/200805:55:00"
-1,"12/09/200806:38:00"
-1,"12/09/200806:41:00"
-1,"12/09/200806:45:00"
-1,"12/09/200807:21:00"
-1,"12/09/200807:29:00"
-1,"12/09/200807:38:00"
-1,"12/09/200811:57:00"
-1,"12/09/200813:08:00"
-1,"12/09/200814:52:00"
-1,"12/09/200815:40:00"
-1,"12/09/200816:23:00"
-1,"12/09/200818:01:00"
-1,"12/09/200818:52:00"
-1,"12/09/200819:36:00"
-1,"12/09/200820:28:00"
-1,"12/09/200821:12:00"
-1,"12/09/200822:25:00"
-1,"12/09/200822:45:00"
-1,"12/09/200823:28:00"
-1,"12/09/200823:40:00"
-1,"13/09/200800:25:00"
-1,"13/09/200802:57:00"
-1,"13/09/200803:14:00"
-1,"13/09/200809:19:00"
-1,"13/09/200810:55:00"
-1,"13/09/200811:42:00"
1,"13/09/200811:56:00"
-1,"13/09/200812:48:00"
-1,"13/09/200814:07:00"
-1,"13/09/200816:04:00"
-1,"13/09/200816:04:00"
1,"13/09/200820:06:00"
-1,"14/09/200802:50:00"
-1,"14/09/200802:59:00"
-1,"14/09/200815:02:00"
-1,"14/09/200815:46:00"
-1,"14/09/200816:34:00"
-1,"14/09/200817:40:00"
-1,"14/09/200818:27:00"
-1,"14/09/200818:27:00"
-1,"14/09/200819:13:00"
-1,"14/09/200820:00:00"
-1,"14/09/200820:43:00"
-1,"14/09/200820:45:00"
-1,"14/09/200821:31:00"
-1,"14/09/200823:00:00"
-1,"15/09/200802:04:00"
-1,"15/09/200810:03:00"
-1,"15/09/200811:40:00"
-1,"15/09/200812:27:00"
-1,"15/09/200816:10:00"
-1,"15/09/200816:59:00"
-1,"15/09/200819:54:00"
-1,"15/09/200821:56:00"
-1,"15/09/200822:13:00"
-1,"15/09/200822:45:00"
-1,"15/09/200822:54:00"
-1,"15/09/200823:37:00"
-1,"16/09/200807:39:00"
-1,"16/09/200807:48:00"
-1,"16/09/200808:50:00"
-1,"16/09/200808:52:00"
-1,"16/09/200809:37:00"
-1,"16/09/200817:07:00"
-1,"16/09/200818:09:00"
-1,"16/09/200818:23:00"
-1,"16/09/200819:34:00"
-1,"16/09/200819:45:00"
-1,"16/09/200821:21:00"
-1,"16/09/200822:45:00"
-1,"17/09/200802:01:00"
1,"17/09/200804:23:00"
-1,"17/09/200807:14:00"
-1,"17/09/200807:28:00"
-1,"17/09/200821:52:00"
-1,"18/09/200800:57:00"
-1,"18/09/200801:40:00"
-1,"18/09/200801:43:00"
-1,"18/09/200802:01:00"
